,title,year,director,genre,country,language,budget,US_box_office,box_office,usr_rating,metacritic
66,Humpty Sharma Ki Dulhania ,2014.0,Shashank Khaitan, Comedy,India,Hindi,,380011.0,13669988.0,6.0,
67,The Devil's Own ,1997.0,Alan J. Pakula, Action,USA,English,90000000.0,42868348.0,140807547.0,6.2,53
68,5th Ave Girl ,1939.0,Gregory La Cava, Comedy,USA,English,607000.0,,9636.0,6.8,
69,Win It All ,2017.0,Joe Swanberg, Comedy,USA,English,,,,6.2,77
70,The Occupant ,2020.0,David Pastor, Adventure,Spain,Spanish,,,1845.0,6.3,
71,,,,,,,,,,,
72,Tangled ,2010.0,Nathan Greno, Animation,USA,English,260000000.0,200821936.0,592461732.0,7.7,71
73,,,,,,,,,,,
74,Branded to Kill ,1967.0,Seijun Suzuki, Action,Japan,Japanese,,,,7.4,
75,,,,,,,,,,,
76,Love for Sale ,2006.0,Karim Aïnouz, Drama,Brazil,Portuguese,,13703.0,13703.0,7.2,62
77,Joong-cheon ,2006.0,Dong-oh Jo, Action,South Korea,Korean,,,9026898.0,6.3,
78,Grizzly Man ,2005.0,Werner Herzog, Documentary,USA,English,,3178403.0,4064179.0,7.8,87
79,Stella ,1955.0,Michael Cacoyannis, Drama,Greece,Greek,,,,8.0,
80,Bi pooli ,2009.0,Hamid Nematollah, Drama,Iran,Persian,,,,6.4,
81,,,,,,,,,,,
82,Last Flag Flying ,2017.0,Richard Linklater, Comedy,USA,English,,965481.0,1872950.0,6.9,65
83,Rookie of the Year ,1993.0,Daniel Stern, Comedy,USA,English,10000000.0,53615089.0,56500758.0,6.1,53
84,Hideous Kinky ,1998.0,Gillies MacKinnon, Adventure,UK,English,12000000.0,1263279.0,1263279.0,6.0,
85,,,,,,,,,,,
86,Wish Man ,2019.0,Theo Davies, Biography,USA,English,,,,7.0,
87,Joven y alocada ,2012.0,Marialy Rivas, Comedy,Chile,Spanish,,5514.0,212624.0,6.1,
88,Butterflies Are Free ,1972.0,Milton Katselas, Comedy,USA,English,,250000.0,,7.2,
89,,,,,,,,,,,
90,Opening Night ,1977.0,John Cassavetes, Drama,USA,English,,23488.0,23488.0,8.0,69
91,Kopps ,2003.0,Josef Fares, Action,Sweden,Swedish,22000000.0,,3930933.0,6.7,
92,Mao's Last Dancer ,2009.0,Bruce Beresford, Biography,Australia,English,,4817770.0,23914731.0,7.3,55
93,The Big Clock ,1948.0,John Farrow, Crime,USA,English,,,,7.7,
94,One Hundred Men and a Girl ,1937.0,Henry Koster, Comedy,USA,English,762000.0,,,6.7,
95,The Reincarnation of Peter Proud ,1975.0,J. Lee Thompson, Horror,USA,English,,,,6.5,
96,Leave No Trace ,2018.0,Debra Granik, Drama,USA,English,,6046104.0,7682928.0,7.2,88
97,Ashes in the Snow ,2018.0,Marius A. Markevicius, Drama,Lithuania,English,5000000.0,,1557172.0,6.6,42
98,Issiz Adam ,2008.0,Çagan Irmak, Drama,Turkey,Turkish,,,16123820.0,6.8,
99,Iphigenia ,1977.0,Michael Cacoyannis, Drama,Greece,Greek,,,,7.7,
100,Waste Land ,2010.0,Lucy Walker, Documentary,Brazil,Portuguese,1500000.0,187716.0,291307.0,7.9,78
101,Pride and Glory ,2008.0,Gavin O'Connor, Crime,USA,English,30000000.0,15740721.0,31200557.0,6.6,45
