,title,year,director,genre,country,language,budget,US_box_office,box_office,usr_rating,metacritic
288,Kiss of the Dragon ,2001.0,Chris Nahon, Action,France,English,25000000.0,36845124.0,64437847.0,6.6,58
289,Che sau ,2012.0,Soi Cheang, Action,Hong Kong,Cantonese,,,2776214.0,5.9,
290,Skate Kitchen ,2018.0,Crystal Moselle, Drama,USA,English,,236799.0,287307.0,6.8,72
291,The Trouble with Harry ,1955.0,Alfred Hitchcock, Comedy,USA,English,1200000.0,,,7.1,74
292,Devlet Kusu ,1980.0,Memduh Ün, Comedy,Turkey,Turkish,,,,7.0,
293,Fingers ,1978.0,James Toback, Crime,USA,English,1300000.0,,,6.8,
294,Total Recall ,2012.0,Len Wiseman, Action,USA,English,125000000.0,58877969.0,198467168.0,6.3,43
295,Lichter ,2003.0,Hans-Christian Schmid, Drama,Germany,German,,,804054.0,7.6,
296,Zebrahead ,1992.0,Anthony Drazan, Drama,USA,English,,1557771.0,1557771.0,6.3,
297,The Zohar Secret ,2016.0,Vladek Zankovsky, Comedy,Israel,Russian,,,,6.2,
298,Bibliotheque Pascal ,2010.0,Szabolcs Hajdu, Drama,Germany,Romanian,,,29051.0,7.1,
299,War Room ,2015.0,Alex Kendrick, Drama,USA,English,3000000.0,67790117.0,73256266.0,6.5,26
300,La chispa de la vida ,2011.0,Álex de la Iglesia, Drama,Spain,Spanish,,,1340269.0,6.1,32
301,Spaceballs ,1987.0,Mel Brooks, Adventure,USA,English,22700000.0,38119483.0,38119483.0,7.1,46
302,The Five Man Army ,1969.0,Don Taylor, Action,Italy,Italian,,,,6.7,
303,,,,,,,,,,,
304,La delicatesse ,2011.0,David Foenkinos, Comedy,France,French,7000000.0,498584.0,11597420.0,6.6,53
305,Thief ,1981.0,Michael Mann, Action,USA,English,5500000.0,11492915.0,11492915.0,7.4,78
306,Superman II ,1980.0,Richard Lester, Action,USA,English,54000000.0,108185706.0,108185706.0,6.8,83
307,The Counterfeiters ,2007.0,Stefan Ruzowitzky, Crime,Austria,German,4200000.0,5488570.0,18814713.0,7.6,78
308,Shame ,2011.0,Steve McQueen, Drama,UK,English,6500000.0,3909002.0,19123767.0,7.2,72
309,Den radio ,2008.0,Dmitriy Dyachenko, Comedy,Russia,Russian,,,5998707.0,7.4,
310,The Devil-Doll ,1936.0,Tod Browning, Drama,USA,English,,,,7.0,
311,Kauas pilvet karkaavat ,1996.0,Aki Kaurismäki, Comedy,Finland,Finnish,5562154.0,,,7.7,
312,True Colors ,1991.0,Herbert Ross, Drama,USA,English,20000000.0,418807.0,418807.0,6.3,
313,De pere en flic ,2009.0,Émile Gaudreault, Action,Canada,French,,,,6.7,
314,La corrispondenza ,2016.0,Giuseppe Tornatore, Drama,Italy,English,10000000.0,,3832684.0,6.1,
315,Brij Mohan Amar Rahe ,2017.0,Nikhil Bhat, Comedy,India,Hindi,,,,6.8,
316,Irina Palm ,2007.0,Sam Garbarski, Drama,Belgium,English,4500000.0,44383.0,10610835.0,7.2,55
317,Mr. Holland's Opus ,1995.0,Stephen Herek, Drama,USA,English,23000000.0,82569971.0,106269971.0,7.3,59
318,,,,,,,,,,,
319,Chinese Roulette ,1976.0,Rainer Werner Fassbinder, Drama,West Germany,German,1100000.0,8144.0,8144.0,7.4,
320,Two Weeks Notice ,2002.0,Marc Lawrence, Comedy,USA,English,60000000.0,93354851.0,199043242.0,6.1,42
321,438 dagar ,2019.0,Jesper Ganslandt, Drama,Sweden,Swedish,43000000.0,,,6.9,
322,Against the Current ,2009.0,Peter Callahan, Drama,USA,English,3000000.0,,,6.1,
323,Poramon 2 ,2018.0,Raihan Rafi, Drama,Bangladesh,Bengali,20000000.0,,,6.7,
324,The Adventures of Tom Sawyer ,1938.0,Norman Taurog, Adventure,USA,English,,,,7.1,
325,,,,,,,,,,,
326,The Apple Dumpling Gang ,1975.0,Norman Tokar, Comedy,USA,English,,36853000.0,36853000.0,6.5,59
327,,,,,,,,,,,
328,,,,,,,,,,,
329,Nyfes ,2004.0,Pantelis Voulgaris, Drama,Greece,English,,,5000509.0,7.6,
330,The Devil's Backbone ,2001.0,Guillermo del Toro, Drama,Mexico,Spanish,4500000.0,755249.0,6582065.0,7.4,78
331,House of Strangers ,1949.0,Joseph L. Mankiewicz, Crime,USA,English,,,,7.4,
332,,,,,,,,,,,
333,Little Boy Blue ,1997.0,Antonio Tibaldi, Drama,USA,English,,12958.0,12958.0,6.3,
334,,,,,,,,,,,
335,Sands of Iwo Jima ,1949.0,Allan Dwan, Action,USA,English,1000000.0,,,7.1,75
336,Provoked: A True Story ,2006.0,Jag Mundhra, Biography,UK,English,,761740.0,3135419.0,6.6,39
337,Chinthavishtayaya Shyamala ,1998.0,Sreenivasan, Comedy,India,Malayalam,,,,8.0,
338,The Revengers' Comedies ,1998.0,Malcolm Mowbray, Comedy,UK,English,,,,6.2,
339,Charlie's Country ,2013.0,Rolf de Heer, Drama,Australia,Aboriginal,,42937.0,202966.0,7.2,75
340,Akahige ,1965.0,Akira Kurosawa, Drama,Japan,Japanese,,46808.0,46808.0,8.4,
341,Miss You Already ,2015.0,Catherine Hardwicke, Comedy,UK,English,,1162653.0,7573997.0,6.8,59
342,Hell Drivers ,1957.0,Cy Endfield, Crime,UK,English,,,,7.2,
343,,,,,,,,,,,
344,On a retrouve la 7eme compagnie ! ,1975.0,Robert Lamoureux, Comedy,France,French,,,,6.7,
345,16 Blocks ,2006.0,Richard Donner, Action,USA,English,52000000.0,36895141.0,65664721.0,6.6,63
346,Yu wo wakasuhodo no atsui ai ,2016.0,Ryôta Nakano, Drama,Japan,Japanese,,,160697.0,7.5,
347,Les Miserables ,1998.0,Bille August, Crime,UK,English,,14096321.0,14096321.0,7.5,
348,When the Raven Flies ,1984.0,Hrafn Gunnlaugsson, Action,Iceland,Icelandic,,,,6.7,
349,Manorama Six Feet Under ,2007.0,Navdeep Singh, Crime,India,Hindi,,,141551.0,7.6,
350,,,,,,,,,,,
351,The Emperor's New Groove ,2000.0,Mark Dindal, Animation,USA,English,100000000.0,89302687.0,169327687.0,7.3,70
352,Hemlock Society ,2012.0,Srijit Mukherji, Comedy,India,Bengali,,,,7.4,
353,Four Lions ,2010.0,Christopher Morris, Comedy,UK,English,,304616.0,6149356.0,7.3,68
354,Noah's Ark ,1959.0,Bill Justice, Animation,USA,English,,,,6.3,
355,Carnage: Swallowing the Past ,2017.0,Simon Amstell, Comedy,UK,English,,,,7.8,
356,Hamlet 2 ,2008.0,Andrew Fleming, Comedy,USA,English,9000000.0,4886216.0,4925288.0,6.3,54
357,,,,,,,,,,,
358,La vida de los peces ,2010.0,Matías Bize, Drama,Chile,Spanish,,,233603.0,6.8,
359,Monsoon Mangoes ,2016.0,Abi Varghese, Comedy,India,Malayalam,,,,6.7,
360,,,,,,,,,,,
361,The Real Blonde ,1997.0,Tom DiCillo, Comedy,USA,English,,83488.0,83488.0,6.0,48
362,Close My Eyes ,1991.0,Stephen Poliakoff, Drama,UK,English,,135893.0,135893.0,6.3,
363,Fighting with My Family ,2019.0,Stephen Merchant, Biography,UK,English,11000000.0,22958886.0,40811919.0,7.1,68
364,,,,,,,,,,,
365,Snow Flower and the Secret Fan ,2011.0,Wayne Wang, Drama,China,English,6000000.0,1348205.0,11348205.0,6.1,42
366,The Great Muppet Caper ,1981.0,Jim Henson, Adventure,UK,English,,31206251.0,31206251.0,7.2,70
367,Darkon ,2006.0,Luke Meyer, Documentary,USA,English,,,,6.8,
368,Lilies - Les feluettes ,1996.0,John Greyson, Crime,Canada,English,2200000.0,301548.0,301548.0,7.3,
369,Rebel in the Rye ,2017.0,Danny Strong, Biography,USA,English,,378294.0,944370.0,6.7,46
370,The Last Starfighter ,1984.0,Nick Castle, Action,USA,English,15000000.0,28733290.0,28733290.0,6.8,67
371,Papa Hemingway in Cuba ,2015.0,Bob Yari, Biography,USA,English,,1115615.0,1153690.0,6.3,37
372,Das Boot ,1981.0,Wolfgang Petersen, Adventure,West Germany,German,32000000.0,11487676.0,11487676.0,8.3,86
373,If You Meet Sartana... Pray for Your Death ,1968.0,Gianfranco Parolini, Action,Italy,Italian,137000000.0,,,6.5,
374,Air Force One ,1997.0,Wolfgang Petersen, Action,USA,English,85000000.0,172956409.0,315156409.0,6.5,61
375,Continental Divide ,1981.0,Michael Apted, Comedy,USA,English,,15578237.0,15578237.0,6.2,64
376,Ring ,1998.0,Hideo Nakata, Horror,Japan,Japanese,1200000.0,,59001.0,7.2,
377,"Mystery, Alaska ",1999.0,Jay Roach, Comedy,Canada,English,28000000.0,8891623.0,8891623.0,6.7,49
378,Le guignolo ,1980.0,Georges Lautner, Comedy,France,French,,,,6.1,
379,Film Stars Don't Die in Liverpool ,2017.0,Paul McGuigan, Biography,UK,English,10000000.0,1026124.0,4047917.0,6.7,65
380,Mutiny on the Bounty ,1935.0,Frank Lloyd, Adventure,USA,English,1950000.0,,,7.7,87
381,,,,,,,,,,,
382,Bank Bang ,2008.0,Argyris Papadimitropoulos, Comedy,Greece,Greek,,,4134386.0,6.1,
383,The Herd ,1978.0,Zeki Ökten, Drama,Turkey,Kurdish,,,,8.3,
384,Vanishing Point ,1971.0,Richard C. Sarafian, Action,USA,English,1585000.0,12442673.0,12442673.0,7.2,61
385,Traitor ,2008.0,Jeffrey Nachmanoff, Action,USA,English,22000000.0,23530831.0,27675014.0,7.0,61
386,Red Garters ,1954.0,George Marshall, Action,USA,English,,1300000.0,,6.0,
387,Sangailes vasara ,2015.0,Alante Kavaite, Drama,Lithuania,Lithuanian,,4480.0,54256.0,6.4,63
388,The First Wives Club ,1996.0,Hugh Wilson, Comedy,USA,English,26000000.0,105489203.0,181489203.0,6.4,58
389,Midway ,1976.0,Jack Smight, Action,USA,English,,43220000.0,,6.8,48
390,The Secret Men Club ,2019.0,Khaled El Halafawy, Comedy,Egypt,Arabic,,,1099982.0,6.6,
391,Johnny Belinda ,1948.0,Jean Negulesco, Drama,USA,English,,,,7.7,
392,It Could Happen to You ,1994.0,Andrew Bergman, Comedy,USA,English,20000000.0,37939757.0,37939757.0,6.4,64
393,Soloalbum ,2003.0,Gregor Schnitzler, Comedy,Germany,German,,,2421304.0,6.0,
394,,,,,,,,,,,
395,The Spiral Staircase ,1946.0,Robert Siodmak, Drama,USA,English,,,,7.4,
396,Inspiration ,2016.0,Jason Armstrong, Horror,Canada,English,,,,6.5,
397,Draft Day ,2014.0,Ivan Reitman, Drama,USA,English,25000000.0,28842237.0,29824199.0,6.8,54
398,Kill Me Three Times ,2014.0,Kriv Stenders, Action,USA,English,,24296.0,101807.0,5.8,30
399,Midnight Run ,1988.0,Martin Brest, Action,USA,English,30000000.0,38413606.0,81613606.0,7.5,78
400,The FBI Story ,1959.0,Mervyn LeRoy, Crime,USA,English,,,,6.6,
401,Heung Gong jai jo ,1997.0,Fruit Chan, Comedy,Hong Kong,Cantonese,,17843.0,17843.0,7.5,
402,Hello Guru Prema Kosame ,2018.0,Trinadha Rao Nakkina, Comedy,India,Telugu,,,21160.0,7.1,
403,,,,,,,,,,,
404,The Artist ,2011.0,Michel Hazanavicius, Comedy,France,English,15000000.0,44671682.0,133432856.0,7.9,89
405,Inja bedoone man ,2011.0,Bahram Tavakoli, Drama,Iran,Persian,,,,7.9,
406,Spencer's Mountain ,1963.0,Delmer Daves, Drama,USA,English,,,,7.1,
407,One Flew Over the Cuckoo's Nest  ,1975.0,Milos Forman, Drama,USA,English,3000000.0,108981275.0,108997629.0,8.7,83
408,Child's Play ,1988.0,Tom Holland, Fantasy,USA,English,9000000.0,33244684.0,44196684.0,6.6,58
409,On Golden Pond ,1981.0,Mark Rydell, Drama,USA,English,,119285432.0,119285432.0,7.6,68
410,Shi yue wei cheng ,2009.0,Teddy Chan, Action,China,Mandarin,23000000.0,,6604537.0,6.8,
411,Le gout des merveilles ,2015.0,Éric Besnard, Comedy,France,French,,,4108042.0,6.8,
412,Citizen ,2001.0,Saravana Subaiya, Action,India,Tamil,,,,7.1,
413,The West Point Story ,1950.0,Roy Del Ruth, Comedy,USA,English,,,,6.2,
414,Welcome to Me ,2014.0,Shira Piven, Comedy,USA,English,,608852.0,636819.0,5.9,69
415,Satte Pe Satta ,1982.0,Raj N. Sippy, Action,India,Hindi,,,,7.2,
416,Reign of the Supermen ,2019.0,Sam Liu, Animation,USA,English,,,4223.0,6.8,
417,Epic ,2013.0,Chris Wedge, Animation,USA,English,100000000.0,107518682.0,268426634.0,6.7,52
418,Eagle Eye ,2008.0,D.J. Caruso, Action,USA,English,80000000.0,101440743.0,178767383.0,6.6,43
419,Tucker: The Man and His Dream ,1988.0,Francis Ford Coppola, Biography,USA,English,23000000.0,19652638.0,19652638.0,6.9,74
420,North Shore ,1987.0,William Phelps, Action,USA,English,,3832228.0,3832228.0,6.5,31
421,O vasilias ,2002.0,Nikos Grammatikos, Drama,Greece,Greek,,,,8.1,
422,My Life Without Me ,2003.0,Isabel Coixet, Drama,Spain,English,2000000.0,400948.0,9781854.0,7.5,57
423,Au Hasard Balthazar ,1966.0,Robert Bresson, Drama,France,French,,45406.0,45406.0,7.9,100
424,Breaking Upwards ,2009.0,Daryl Wein, Romance,USA,English,15000.0,77389.0,77389.0,6.2,56
425,Ranpo jigoku ,2005.0,Akio Jissôji, Fantasy,Japan,Japanese,,,217.0,6.3,
426,,,,,,,,,,,
427,Heat ,1972.0,Paul Morrissey, Comedy,USA,English,,,,6.2,
428,Kramer vs. Kramer ,1979.0,Robert Benton, Drama,USA,English,8000000.0,106260000.0,106260000.0,7.8,77
429,Papillon ,1973.0,Franklin J. Schaffner, Biography,France,English,12000000.0,53267000.0,53267000.0,8.0,58
430,Wittgenstein ,1993.0,Derek Jarman, Biography,UK,English,300000.0,,,7.0,
431,Krampus ,2015.0,Michael Dougherty, Comedy,USA,English,15000000.0,42725475.0,61548707.0,6.1,49
432,Mutiny on the Bounty ,1962.0,Lewis Milestone, Adventure,USA,English,19000000.0,,,7.3,48
433,Miss Stevens ,2016.0,Julia Hart, Comedy,USA,English,,4611.0,138535.0,6.6,65
434,Incir Receli ,2011.0,Aytaç Agirlar, Drama,Turkey,Turkish,,,1066192.0,6.5,
435,The Red Balloon ,1956.0,Albert Lamorisse, Short,France,French,,34570.0,48980.0,8.2,
436,,,,,,,,,,,
437,Hunterrr ,2015.0,Harshavardhan Kulkarni, Comedy,India,Hindi,45000000.0,,,7.0,
438,Canoa: A Shameful Memory ,1976.0,Felipe Cazals, Adventure,Mexico,Spanish,,,,7.9,
439,Ahista Ahista ,2006.0,Shivam Nair, Drama,India,Hindi,,,,7.0,
440,Frankenstein Meets the Wolf Man ,1943.0,Roy William Neill, Fantasy,USA,English,,,,6.5,
441,The Reluctant Astronaut ,1967.0,Edward Montagne, Comedy,USA,English,,,,6.4,
442,Shoppen ,2006.0,Ralf Westhoff, Comedy,Germany,German,,,3557797.0,7.2,
443,Total Recall ,1990.0,Paul Verhoeven, Action,USA,English,65000000.0,119412921.0,261317921.0,7.5,57
444,Guest in the House ,1944.0,John Brahm, Drama,USA,English,,,,6.2,
445,Clown Motel: Spirits Arise ,2019.0,Joseph Kelly, Horror,USA,English,,,2080.0,5.1,
446,The Rachel Papers ,1989.0,Damian Harris, Drama,UK,English,,201468.0,201468.0,6.1,56
447,,,,,,,,,,,
448,Dr. Jack ,1922.0,Fred C. Newmeyer, Comedy,USA,None,113440.0,,,7.1,
449,,,,,,,,,,,
450,The Beyond ,1981.0,Lucio Fulci, Horror,Italy,Italian,400000.0,123843.0,123843.0,6.8,38
451,The Texas Chain Saw Massacre ,1974.0,Tobe Hooper, Horror,USA,English,300000.0,30859000.0,30859000.0,7.5,78
452,Bastards ,2006.0,Aleksandr Atanesyan, Action,Russia,Russian,,,9662551.0,6.1,
453,,,,,,,,,,,
454,"Gas, Food Lodging ",1992.0,Allison Anders, Drama,USA,English,,1342613.0,1342613.0,6.7,
455,Bellflower ,2011.0,Evan Glodell, Action,USA,English,17000.0,168226.0,172935.0,6.4,72
456,Sword of the Beast ,1965.0,Hideo Gosha, Action,Japan,Japanese,,,,7.6,
457,This Is England ,2006.0,Shane Meadows, Crime,UK,English,1500000.0,329379.0,8481254.0,7.7,86
458,Fast Five ,2011.0,Justin Lin, Action,USA,English,125000000.0,209837675.0,626137675.0,7.3,66
459,Dough ,2015.0,John Goldschmidt, Comedy,UK,English,,1148304.0,1647429.0,6.2,44
460,Olsen-banden ser rodt ,1976.0,Erik Balling, Comedy,Denmark,Danish,,,,7.6,
461,Mãe So Ha Uma ,2016.0,Anna Muylaert, Drama,Brazil,Portuguese,,11678.0,204583.0,6.8,77
462,Audition ,1999.0,Takashi Miike, Drama,Japan,Japanese,,131296.0,359853.0,7.2,69
463,Not Cool ,2014.0,Shane Dawson, Comedy,USA,English,800000.0,36026.0,36026.0,4.1,1
464,Hanna's War ,1988.0,Menahem Golan, Biography,USA,English,20000000.0,139796.0,139796.0,6.3,
465,The Amazing Spider-Man 2 ,2014.0,Marc Webb, Action,USA,English,200000000.0,202853933.0,708982323.0,6.6,53
466,Eyes in the Night ,1942.0,Fred Zinnemann, Crime,USA,English,,,,6.9,
467,You hua hao hao shuo ,1997.0,Yimou Zhang, Comedy,Hong Kong,Mandarin,,,,7.2,
468,El-Maslaha ,2012.0,Sandra Nashaat, Action,Egypt,Arabic,,,659554.0,7.0,
469,Flickan ,2009.0,Fredrik Edfeldt, Drama,Sweden,Swedish,,2201.0,230862.0,6.6,69
470,Elefante blanco ,2012.0,Pablo Trapero, Drama,Argentina,Spanish,,8884.0,4387907.0,6.5,67
471,Little Miss Sunshine ,2006.0,Jonathan Dayton, Comedy,USA,English,8000000.0,59891098.0,101058954.0,7.8,80
472,A Legy ,1980.0,Ferenc Rofusz, Animation,Hungary,None,,,,7.5,
473,Butter ,2011.0,Jim Field Smith, Comedy,USA,English,,105018.0,175706.0,6.2,40
474,,,,,,,,,,,
475,A Time to Love and a Time to Die ,1958.0,Douglas Sirk, Drama,USA,English,,,11431.0,7.7,
476,Sunshine ,1999.0,István Szabó, Drama,Germany,English,,5096267.0,7918035.0,7.5,71
477,Dark Shadows ,2012.0,Tim Burton, Comedy,USA,English,150000000.0,79727149.0,245527149.0,6.2,55
478,Sis Hopkins ,1941.0,Joseph Santley, Comedy,USA,English,,,,5.9,
479,Madchen in Uniform ,1958.0,Géza von Radványi, Drama,West Germany,German,,,,7.1,
480,Tommy ,1975.0,Ken Russell, Drama,UK,English,5000000.0,34251525.0,34272986.0,6.6,66
481,Poison ,1991.0,Todd Haynes, Drama,USA,English,250000.0,787280.0,787280.0,6.5,67
482,Don't Tell Mom the Babysitter's Dead ,1991.0,Stephen Herek, Comedy,USA,English,,25196249.0,25196249.0,6.3,35
483,Metropolis ,1927.0,Fritz Lang, Drama,Germany,German,6000000.0,1236166.0,1349711.0,8.3,98
484,Journey Into Life: The World of the Unborn ,1990.0,Derek Bromhall, Documentary,USA,English,,,,6.3,
485,,,,,,,,,,,
486,Quarantine ,2008.0,John Erick Dowdle, Horror,USA,English,12000000.0,31691811.0,41319906.0,5.9,53
487,The Given Word ,1962.0,Anselmo Duarte, Drama,Brazil,Portuguese,,,8229.0,8.3,
488,Sneakers ,1992.0,Phil Alden Robinson, Comedy,USA,English,23000000.0,51432691.0,105232691.0,7.1,65
489,Cruel Intentions ,1999.0,Roger Kumble, Drama,USA,English,10500000.0,38773785.0,76347426.0,6.8,56
490,The Lift ,1983.0,Dick Maas, Horror,Netherlands,Dutch,350000.0,,,6.2,
491,Bonneville ,2006.0,Christopher N. Rowley, Comedy,USA,English,,488393.0,1338570.0,6.2,46
492,The Strangers ,2008.0,Bryan Bertino, Horror,USA,English,9000000.0,52597610.0,82410456.0,6.2,47
493,Professor Marston and the Wonder Women ,2017.0,Angela Robinson, Biography,USA,English,,1584759.0,1899615.0,7.1,68
494,Dopperugengâ ,2003.0,Kiyoshi Kurosawa, Comedy,Japan,Japanese,,,,6.4,
495,The French Connection ,1971.0,William Friedkin, Action,USA,English,1800000.0,51700000.0,51700000.0,7.7,94
496,Key Largo ,1948.0,John Huston, Action,USA,English,,7017420.0,9524420.0,7.8,
497,Uncut Gems ,2019.0,Benny Safdie, Crime,USA,English,19000000.0,50023780.0,50023780.0,7.4,91
498,,,,,,,,,,,
499,Kinatay ,2009.0,Brillante Mendoza, Crime,France,Filipino,800000.0,,,6.6,57
500,Newsies ,1992.0,Kenny Ortega, Drama,USA,English,15000000.0,2819485.0,2819485.0,7.0,46
501,Moon ,2009.0,Duncan Jones, Drama,UK,English,5000000.0,5010163.0,9760107.0,7.9,67
502,,,,,,,,,,,
503,Tholi Prema ,1998.0,A. Karunakaran, Drama,India,Telugu,,,,8.2,
504,Pyaar Kiya To Darna Kya ,1998.0,Sohail Khan, Action,India,Hindi,,,,6.7,
505,Open Your Eyes ,1997.0,Alejandro Amenábar, Drama,Spain,Spanish,370000000.0,370720.0,377967.0,7.7,
506,Powidoki ,2016.0,Andrzej Wajda, Biography,Poland,Polish,,33443.0,1032768.0,7.0,75
507,The Age of Shadows ,2016.0,Jee-woon Kim, Action,South Korea,Korean,8620000.0,541719.0,54491162.0,7.1,78
508,War Dogs ,2016.0,Todd Phillips, Biography,USA,English,40000000.0,43034523.0,86234523.0,7.1,57
509,Mune: Guardian of the Moon ,2014.0,Alexandre Heboyan, Animation,France,French,17000000.0,,8574386.0,7.2,
510,Louder Than Bombs ,2015.0,Joachim Trier, Drama,Norway,English,11000000.0,163807.0,1160724.0,6.6,70
511,Teer enta ,2009.0,Ahmed El Guindi, Comedy,Egypt,Arabic,,,437868.0,7.2,
512,Insidious: Chapter 3 ,2015.0,Leigh Whannell, Horror,Canada,English,10000000.0,52218558.0,112983889.0,6.1,52
513,,,,,,,,,,,
514,The Asphyx ,1972.0,Peter Newbrook, Horror,UK,English,,,,6.3,
515,The Hunting Party ,1971.0,Don Medford, Action,UK,English,1600000.0,,,6.3,
516,Beware of a Holy Whore ,1971.0,Rainer Werner Fassbinder, Comedy,West Germany,Italian,1100000.0,8144.0,8144.0,6.8,
517,Taal ,1999.0,Subhash Ghai, Musical,India,Hindi,,2020532.0,2020532.0,6.7,
518,,,,,,,,,,,
519,,,,,,,,,,,
520,The Spider's Stratagem ,1970.0,Bernardo Bertolucci, Drama,Italy,Italian,,,,6.9,
521,1944 ,2015.0,Elmo Nüganen, Drama,Estonia,Estonian,1620000.0,,109768.0,7.1,
522,Fur: An Imaginary Portrait of Diane Arbus ,2006.0,Steven Shainberg, Biography,USA,English,16800000.0,223202.0,2312717.0,6.5,50
523,,,,,,,,,,,
524,,,,,,,,,,,
525,Balkanski spijun ,1984.0,Dusan Kovacevic, Comedy,Yugoslavia,Serbo-Croatian,,,,8.9,
526,Inxeba ,2017.0,John Trengove, Drama,South Africa,Xhosa,,30678.0,213043.0,6.7,80
527,Adventureland ,2009.0,Greg Mottola, Comedy,USA,English,,16044025.0,17164820.0,6.8,76
528,Bartleby ,2001.0,Jonathan Parker, Comedy,USA,English,,148479.0,148479.0,6.4,48
529,Don't Tempt Me ,2001.0,Agustín Díaz Yanes, Crime,Spain,Spanish,1200000.0,77858.0,3340382.0,6.5,31
530,Every Day ,2018.0,Michael Sucsy, Drama,Canada,English,4900000.0,6102076.0,10421847.0,6.4,52
531,December 7th ,1943.0,John Ford, Documentary,USA,English,,,,6.1,
532,Strange Cargo ,1940.0,Frank Borzage, Adventure,USA,English,1252000.0,,,6.9,
533,De dodes tjern ,1958.0,Kåre Bergstrøm, Horror,Norway,Norwegian,,,,7.2,
534,Vi ar bast! ,2013.0,Lukas Moodysson, Drama,Sweden,Swedish,,180590.0,1604273.0,7.2,87
535,Sky Blue ,2003.0,Moon-saeng Kim, Animation,South Korea,Korean,9750000.0,74663.0,197221.0,6.7,53
536,After.Life ,2009.0,Agnieszka Wojtowicz-Vosloo, Drama,USA,English,4500000.0,108595.0,2425535.0,5.9,36
537,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean ",1982.0,Robert Altman, Comedy,USA,English,850000.0,840958.0,840958.0,7.2,
538,Handler der vier Jahreszeiten ,1972.0,Rainer Werner Fassbinder, Drama,West Germany,German,325000.0,8144.0,8144.0,7.4,
539,Dipu Number 2 ,1996.0,Morshedul Islam, Adventure,Bangladesh,Bengali,,,,8.9,
540,Above the Rim ,1994.0,Jeff Pollack, Crime,USA,English,3500000.0,16192320.0,16192320.0,6.6,
541,Kunsten at græde i kor ,2006.0,Peter Schønau Fog, Comedy,Denmark,Danish,,,2277494.0,7.4,
542,Propaganda ,1999.0,Sinan Çetin, Comedy,Turkey,Turkish,,,,7.1,
543,Quadrophenia ,1979.0,Franc Roddam, Drama,UK,English,,,,7.3,79
544,Identity ,2003.0,James Mangold, Mystery,USA,English,28000000.0,52159536.0,90259536.0,7.3,64
545,,,,,,,,,,,
546,They Won't Believe Me ,1947.0,Irving Pichel, Drama,USA,English,,,,7.2,
547,L'effrontee ,1985.0,Claude Miller, Comedy,France,French,,,,6.9,
548,Rocket Gibraltar ,1988.0,Daniel Petrie, Drama,USA,English,3000000.0,187349.0,187349.0,6.6,
549,The Fifth Estate ,2013.0,Bill Condon, Biography,USA,English,28000000.0,3255008.0,9058564.0,6.2,49
550,En duva satt pa en gren och funderade pa tillvaron ,2014.0,Roy Andersson, Comedy,Sweden,Swedish,,222989.0,1472431.0,7.0,81
551,The Expendables 2 ,2012.0,Simon West, Action,USA,English,100000000.0,85028192.0,314975955.0,6.6,51
552,Take Me Home Tonight ,2011.0,Michael Dowse, Comedy,USA,English,23000000.0,6928068.0,7550073.0,6.3,42
553,Paskal: The Movie ,2018.0,Adrian Teh, Action,Malaysia,Malay,,,,6.8,
554,Cutter's Way ,1981.0,Ivan Passer, Crime,USA,English,3000000.0,1729274.0,1752634.0,6.9,70
555,"Deprisa, Deprisa ",1981.0,Carlos Saura, Crime,Spain,Spanish,36000000.0,,,7.0,
556,"Out 1, noli me tangere ",1971.0,Jacques Rivette, Drama,France,French,,31539.0,37743.0,7.8,87
557,Xin shu shan jian ke ,1983.0,Hark Tsui, Action,Hong Kong,Cantonese,,,,6.6,
558,What Happened to Monday ,2017.0,Tommy Wirkola, Action,UK,English,,,27975429.0,6.9,47
559,The Out of Towners ,1970.0,Arthur Hiller, Comedy,USA,English,,4337392.0,,7.1,72
560,,,,,,,,,,,
561,Horrible Bosses 2 ,2014.0,Sean Anders, Comedy,USA,English,42000000.0,54445357.0,107645357.0,6.3,40
562,The Ones Below ,2015.0,David Farr, Drama,UK,English,,12488.0,121827.0,6.1,63
563,The Peanut Butter Falcon ,2019.0,Tyler Nilson, Comedy,USA,English,6200000.0,20457151.0,23728475.0,7.6,70
564,Bizim Aile ,1975.0,Ergin Orbey, Comedy,Turkey,Turkish,,,,8.4,
565,For Lovers Only ,2011.0,Michael Polish, Comedy,USA,English,,,,7.1,
566,Buffalo Soldiers ,2001.0,Gregor Jordan, Comedy,UK,English,15000000.0,354421.0,2300684.0,6.8,56
567,The Beguiled ,1971.0,Don Siegel, Drama,USA,English,,1100000.0,1113069.0,7.2,66
568,Diary of a Chambermaid ,1964.0,Luis Buñuel, Crime,France,French,,17754.0,,7.5,
569,Family Resemblances ,1996.0,Cédric Klapisch, Comedy,France,French,3800000.0,92806.0,92806.0,7.5,
570,,,,,,,,,,,
571,That Night ,1992.0,Craig Bolotin, Drama,France,English,,20194.0,20194.0,6.7,
572,A King in New York ,1957.0,Charles Chaplin, Comedy,UK,English,,,,7.1,
573,Mamma Mia! ,2008.0,Phyllida Lloyd, Comedy,USA,English,52000000.0,144169664.0,609913584.0,6.4,51
574,Jeffrey ,1995.0,Christopher Ashley, Comedy,USA,English,,3487767.0,3487767.0,6.8,
575,,,,,,,,,,,
